name,price,link,glass_image,try_on_image
Rainbow,$12.95,https://www.glassesshop.com/eyeglasses/fp1658,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201806/5b10dfd765cde.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201806/5b10dfd1718b1.jpg"
Jean,$19.95,https://www.glassesshop.com/eyeglasses/fp1718,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e23b621cdd27.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/16051550_57408.jpg"
Buckeye,$29.95,https://www.glassesshop.com/eyeglasses/fz1094,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf27139c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/13003028_42710.jpg"
Joni,$29.95,https://www.glassesshop.com/eyeglasses/fp2023,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3994cc9705.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/5dd3994e35c0b.jpg"
Labrador,$12.95,https://www.glassesshop.com/eyeglasses/fp1989,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff9da1df35.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ff9d6637d5.jpg"
Celia,$19.95,https://www.glassesshop.com/eyeglasses/fm1388,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d03189634ede.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f2a82fb5d970.jpg"
Attis,$24.95,https://www.glassesshop.com/eyeglasses/fm1394,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201909/5d8d7492b0e7d.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201911/05021157_33757.jpg"
Darcy,$19.95,https://www.glassesshop.com/eyeglasses/sm0787,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf283882.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201811/5bff5bf282449.jpg"
Bray,$12.95,https://www.glassesshop.com/eyeglasses/fp1922,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18f87ede5.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18f5752aa.jpg"
Hume,$29.95,https://www.glassesshop.com/eyeglasses/fz1299,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c340388202fb.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881f0c0.jpg"
Hume,$29.95,https://www.glassesshop.com/eyeglasses/fz1298,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881d955.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881c161.jpg"
Willie,$19.95,https://www.glassesshop.com/eyeglasses/sm0862,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc510972368.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc510970fb0.jpg"
Mandy,$29.95,https://www.glassesshop.com/eyeglasses/fz1089,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c51ef38a.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201710/59e01c4d1913a.jpg"
Fresno,$12.95,https://www.glassesshop.com/eyeglasses/fp2039,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f795f84d.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202002/5e377f7ab7fcc.jpg"
